Kilométrage,Année,Boite de vitesses,Carburant,Puissance fiscale,Nombre de portes,Première main,Véhicule dédouané,Importé neuf,Marque et Modèle,Prix
139000,2016,0,0,8,5,1,2016,0,355703.125,180000.0
139000,2016,0,0,8,5,1,2016,0,355703.125,180000.0
119000,2022,1,0,8,5,0,2019,0,291659.6769823789,475000.0
119000,2022,1,0,8,5,0,2019,0,291659.6769823789,475000.0
56000,2017,1,0,8,5,1,2019,0,350000.0,350000.0
97000,2018,1,0,9,5,1,2019,0,305000.0,305000.0
3000,2022,1,1,7,3,1,2019,0,150000.0,150000.0
34000,2023,0,1,6,5,0,2023,0,114831.21621621621,112000.0
210000,2010,0,0,10,5,0,2014,0,99000.0,99000.0
179000,2016,0,0,8,5,0,2016,0,117000.0,117000.0
299000,2005,1,0,9,5,0,2005,0,99000.0,99000.0
199000,2011,1,0,9,5,0,2011,0,88000.0,88000.0
189000,2013,0,0,6,5,0,2013,0,135666.66666666666,89000.0
189000,2013,0,0,6,5,0,2013,0,135666.66666666666,89000.0
169000,2018,1,0,8,5,0,2021,0,211750.0,278000.0
169000,2018,1,0,8,5,0,2021,0,211750.0,278000.0
109000,2018,1,1,6,3,1,2018,0,132614.13043478262,104000.0
299000,2014,1,0,8,5,1,2014,0,129291.66666666667,137000.0
64000,2022,1,0,8,5,1,2022,0,313363.5909090909,339000.0
64000,2022,1,0,8,5,1,2022,0,313363.5909090909,339000.0
74000,2022,1,1,10,5,1,2022,0,125040.16393442624,295000.0
54000,2022,1,0,6,5,1,2022,1,197754.83870967742,225000.0
74000,2022,1,1,8,5,1,2022,0,291659.6769823789,159000.0
126000,2019,0,0,6,5,1,2019,0,135411.76470588235,165000.0
49000,2019,1,2,10,5,0,2019,0,213806.4516129032,205000.0
49000,2019,1,2,10,5,0,2019,0,213806.4516129032,205000.0
119000,2019,0,0,6,5,0,2019,0,192100.0,180000.0
119000,2019,0,0,6,5,0,2019,0,192100.0,180000.0
79000,2021,1,0,8,5,1,2021,0,258000.0,258000.0
79000,2021,1,0,8,5,1,2021,0,258000.0,258000.0
129000,2019,0,0,8,5,0,2019,0,252716.53543307088,230000.0
129000,2019,0,0,8,5,0,2019,0,252716.53543307088,230000.0
109000,2018,1,0,8,5,1,2018,0,182571.42857142858,189000.0
74000,2022,0,0,6,5,1,2022,0,119146.06741573034,169000.0
49000,2024,1,1,7,5,1,2024,0,114068.83116883117,175000.0
19000,2024,1,1,6,5,1,2024,0,81698.86363636363,157000.0
44000,2024,1,1,9,5,1,2024,0,114068.83116883117,175000.0
94000,2015,1,0,9,5,1,2015,1,298229.85135135136,297000.0
99000,2018,1,0,8,5,0,2018,0,197754.83870967742,205000.0
14000,2022,1,1,7,5,1,2022,0,132614.13043478262,148000.0
54000,2019,1,1,10,5,1,2019,0,222137.93103448275,197000.0
44000,2017,0,0,6,5,1,2017,0,197754.83870967742,178000.0
14000,2024,1,1,7,3,1,2024,0,132614.13043478262,159000.0
14000,2024,1,2,8,5,1,2024,0,197754.83870967742,235000.0
139000,2014,1,0,8,5,0,2014,0,355703.125,155000.0
139000,2014,1,0,8,5,0,2014,0,355703.125,155000.0
79000,2022,1,2,10,5,0,2022,0,278000.0,278000.0
79000,2022,1,2,10,5,0,2022,0,278000.0,278000.0
149000,2018,1,0,8,5,0,2018,0,148000.0,148000.0
149000,2018,1,0,8,5,0,2018,0,148000.0,148000.0
189000,2013,0,0,6,5,0,2013,0,135666.66666666666,89000.0
189000,2013,0,0,6,5,0,2013,0,135666.66666666666,89000.0
94000,2021,1,0,6,5,0,2021,0,114068.83116883117,148000.0
74000,2021,1,1,6,3,1,2021,0,132614.13043478262,145000.0
129000,2017,0,0,6,5,0,2017,0,91111.11111111111,100000.0
149000,2021,0,0,6,5,0,2021,0,122476.19047619047,125000.0
74000,2022,1,1,6,5,0,2022,0,93305.36257309941,129000.0
99000,2021,1,0,6,5,0,2021,0,152780.64516129033,159000.0
179000,2009,0,0,7,3,0,2009,0,125040.16393442624,79000.0
199000,2008,1,0,8,5,0,2008,0,81250.0,79000.0
199000,2002,0,1,11,5,0,2002,0,291659.6769823789,39000.0
199000,2010,0,0,10,5,0,2010,0,95000.0,95000.0
94000,2016,0,1,8,3,0,2016,1,144526.7767857143,95000.0
179000,2015,1,0,8,5,0,2015,0,97000.0,97000.0
299000,2005,1,0,9,5,0,2005,0,226282.76811594202,99000.0
199000,2011,1,0,9,5,0,2011,0,88000.0,88000.0
179000,2016,0,0,8,5,0,2016,0,128591.30434782608,117000.0
64000,2022,1,1,11,3,1,2022,0,291659.6769823789,390000.0
109000,2020,1,0,8,5,1,2020,0,186782.5507246377,215000.0
179000,2020,1,0,6,5,1,2020,0,252344.98734177215,250000.0
84000,2022,1,0,6,5,0,2022,0,252344.98734177215,333000.0
129000,2021,0,0,6,5,0,2021,0,166636.36363636365,165000.0
74000,2023,1,2,9,5,0,2023,0,252344.98734177215,335000.0
119000,2019,1,0,8,5,0,2019,0,333625.0,324000.0
119000,2019,1,0,8,5,0,2019,0,333625.0,324000.0
105000,2017,0,0,8,5,1,2019,0,355703.125,238000.0
105000,2017,0,0,8,5,1,2019,0,355703.125,238000.0
39000,2022,0,0,6,5,0,2022,0,126650.0,165000.0
39000,2022,0,0,6,5,0,2022,0,126650.0,165000.0
129000,2019,1,0,8,5,1,2019,0,230000.0,230000.0
41000,2022,1,0,8,5,1,2019,0,320000.0,320000.0
129000,2016,1,0,11,3,1,2016,0,300000.0,300000.0
159000,2021,1,3,4,5,1,2021,0,380000.0,380000.0
139000,2019,1,0,8,5,1,2019,0,298229.85135135136,380000.0
54000,2020,1,0,8,5,1,2020,0,228000.0,240000.0
249000,2016,1,0,11,5,1,2016,0,322300.0,250000.0
99000,2020,1,0,8,5,1,2020,0,186782.5507246377,225000.0
44000,2022,1,0,8,5,1,2022,0,480000.0,330000.0
99000,2020,1,0,8,5,1,2020,0,186782.5507246377,215000.0
79000,2022,1,0,6,5,1,2022,0,155369.86301369863,235000.0
249000,2014,1,0,8,5,0,2014,0,346666.6535947712,180000.0
139000,2016,0,0,6,5,1,2016,0,175017.22413793104,138000.0
44000,2022,0,0,6,5,1,2022,0,171707.8947368421,190000.0
39000,2018,1,0,6,5,1,2018,0,197754.83870967742,200000.0
39000,2021,0,0,8,5,0,2021,0,222478.26086956522,210000.0
39000,2021,0,0,8,5,0,2021,0,222478.26086956522,210000.0
126000,2017,1,0,6,6,1,2019,0,288087.7192982456,210000.0
126000,2017,1,0,6,6,1,2019,0,288087.7192982456,210000.0
74000,2023,0,0,6,5,0,2023,0,202512.12121212122,210000.0
74000,2023,0,0,6,5,0,2023,0,202512.12121212122,210000.0
109000,2020,1,0,8,5,1,2020,0,186782.5507246377,220000.0
59000,2021,0,0,6,5,0,2021,0,192100.0,175000.0
59000,2021,0,0,6,5,0,2021,0,192100.0,175000.0
69000,2018,1,0,8,5,0,2018,0,386842.1052631579,405000.0
69000,2018,1,0,8,5,0,2018,0,386842.1052631579,405000.0
129000,2017,1,0,8,5,1,2017,0,291659.6769823789,194000.0
79000,2022,1,0,8,5,1,2022,0,362920.0,480000.0
59000,2022,1,0,6,5,1,2022,0,227000.0,227000.0
19000,2024,1,1,6,5,1,2024,0,291659.6769823789,219000.0
65000,2018,1,0,8,5,1,2021,0,470000.0,470000.0
161000,2019,1,0,8,5,0,2019,0,291659.6769823789,193000.0
44000,2021,1,0,8,5,1,2021,0,346666.6535947712,443000.0
170000,2017,1,0,8,5,1,2019,0,270000.0,270000.0
54000,2024,1,2,10,5,0,2024,0,125492.06349206349,270000.0
39000,2022,0,1,6,5,0,2022,0,76127.27272727272,124000.0
39000,2023,1,0,9,5,0,2023,0,313363.5909090909,449000.0
4000,2024,1,1,6,5,1,2024,0,259000.0,259000.0
4000,2024,1,1,6,5,1,2024,0,259000.0,259000.0
74000,2022,1,1,6,5,1,2022,0,212333.33333333334,224000.0
74000,2022,1,1,6,5,1,2022,0,212333.33333333334,224000.0
39000,2024,1,1,9,5,1,2024,0,176200.0,175000.0
39000,2024,1,1,9,5,1,2024,0,176200.0,175000.0
127000,2019,1,0,6,5,0,2019,0,291659.6769823789,176000.0
195000,2012,0,1,8,3,0,2012,0,75000.0,75000.0
82000,2017,1,0,8,2,1,2019,0,291659.6769823789,415000.0
314000,2001,0,1,11,5,0,2019,0,25000.0,25000.0
200000,2018,0,0,8,5,1,2019,0,291659.6769823789,185000.0
4000,2024,1,2,7,5,1,2024,0,291659.6769823789,305000.0
34000,2023,1,0,8,5,1,2023,0,203008.88888888888,323000.0
29000,2023,0,0,6,5,0,2023,0,152240.48648648648,158000.0
44000,2021,1,0,8,5,1,2021,0,208500.0,358000.0
24000,2024,1,1,7,3,0,2024,0,132614.13043478262,162000.0
44000,2023,1,2,8,5,1,2023,0,228000.0,305000.0
79000,2021,1,0,8,5,1,2021,0,210785.7142857143,258000.0
39000,2019,1,0,6,5,1,2019,0,170887.37837837837,228000.0
77760,2019,1,0,9,5,1,2019,0,288000.0,320000.0
77760,2019,1,0,9,5,1,2019,0,288000.0,320000.0
109000,2017,0,1,7,5,0,2017,0,222137.93103448275,160000.0
79000,2020,1,0,9,5,0,2020,0,322300.0,440000.0
59000,2022,1,0,6,5,1,2022,0,252344.98734177215,329000.0
109000,2020,1,0,9,5,1,2020,0,168326.92307692306,310000.0
79000,2017,0,0,6,5,1,2017,0,144526.7767857143,127000.0
185000,2014,1,0,8,4,0,2019,1,186000.0,186000.0
190000,2009,0,0,6,5,0,2019,0,70000.0,70000.0
64000,2022,1,2,9,5,0,2022,0,164500.0,239000.0
79000,2021,1,0,8,5,0,2021,0,328673.9130434783,320000.0
84000,2022,0,0,6,5,0,2022,0,114831.21621621621,135000.0
129000,2022,1,0,6,5,0,2022,0,125040.16393442624,189000.0
59000,2022,0,0,6,5,0,2022,0,119146.06741573034,167000.0
109000,2021,0,0,6,3,0,2021,0,119146.06741573034,139000.0
45000,2014,1,1,8,3,0,2019,0,145000.0,145000.0
4000,2024,1,1,8,5,1,2024,0,210777.44444444444,235000.0
4000,2024,1,1,8,5,1,2024,0,210777.44444444444,235000.0
39000,2021,0,0,8,5,0,2021,0,222478.26086956522,210000.0
39000,2021,0,0,8,5,0,2021,0,222478.26086956522,210000.0
64000,2022,1,2,9,5,0,2022,0,164500.0,239000.0
64000,2022,1,2,9,5,0,2022,0,164500.0,239000.0
79000,2021,1,0,8,5,0,2021,0,328673.9130434783,320000.0
84000,2022,0,0,6,5,0,2022,0,114831.21621621621,135000.0
